implementation,shape,ny,nx,seed,processes,run,time_seconds,compute_fraction
mpi,square,256,256,42,4,3,0.0042559999999999994,0.11384217335058235
mpi,square,256,256,42,4,4,0.0024000000000000028,0.20210988092751223
mpi,square,256,256,42,4,5,0.0035090000000000017,0.1370478704430329
mpi,square,256,256,42,4,6,0.0040840000000000008,0.12423116350589417
mpi,square,256,256,42,4,7,0.0036449999999999989,0.1336466035519312
mpi,square,256,256,42,4,8,0.0031389999999999994,0.15463753090358112
mpi,square,256,256,42,4,9,0.0040599999999999976,0.1197508787075291
mpi,square,256,256,42,4,10,0.0037869999999999987,0.12868988391376474
seq,wide,128,512,42,1,1,0.001927999997860752,0.79201244919368241
seq,wide,128,512,42,1,2,0.0018979999877046794,0.79135933029172234
seq,wide,128,512,42,1,3,0.0019560000073397532,0.79396728186375987
seq,wide,128,512,42,1,4,0.0020499999955063686,0.78439024852165495
seq,wide,128,512,42,1,5,0.001999999993131496,0.79100000856380215
seq,wide,128,512,42,1,6,0.0019909999973606318,0.78955298635924953
seq,wide,128,512,42,1,7,0.0019800000009126961,0.78838384401099471
seq,wide,128,512,42,1,8,0.0019780000002356246,0.7886754317800807
seq,wide,128,512,42,1,9,0.0019579999934649095,0.79979571578385233
seq,wide,128,512,42,1,10,0.0019739999988814816,0.79432624510819938
mpi,wide,128,512,42,1,1,0.002124,0.7321092278719401
mpi,wide,128,512,42,1,2,0.0020280000000000003,0.73619329388560129
mpi,wide,128,512,42,1,3,0.0020839999999999999,0.74232245681381903
mpi,wide,128,512,42,1,4,0.002039,0.73075036782736591
mpi,wide,128,512,42,1,5,0.0020719999999999992,0.72731660231660289
mpi,wide,128,512,42,1,6,0.0021290000000000007,0.71676843588539174
mpi,wide,128,512,42,1,7,0.0020879999999999996,0.72222222222222188
mpi,wide,128,512,42,1,8,0.0021019999999999997,0.72216936251189323
mpi,wide,128,512,42,1,9,0.0021120000000000002,0.74147727272727293
mpi,wide,128,512,42,1,10,0.0020960000000000006,0.75143129770992301
mpi,wide,128,512,42,2,1,0.0033629999999999997,0.22531231409875035
mpi,wide,128,512,42,2,2,0.0032710000000000013,0.23853211009174285
mpi,wide,128,512,42,2,3,0.0032659999999999911,0.23610473128156745
mpi,wide,128,512,42,2,4,0.0026869999999999984,0.2996463800483905
mpi,wide,128,512,42,2,5,0.0033900000000000007,0.21814159292035365
mpi,wide,128,512,42,2,6,0.0035739999999999991,0.22953114065780283
mpi,wide,128,512,42,2,7,0.0033340000000000002,0.23417341734173389
mpi,wide,128,512,42,2,8,0.0033550000000000003,0.22528701356791386
mpi,wide,128,512,42,2,9,0.0035150000000000008,0.22755087519567371
mpi,wide,128,512,42,2,10,0.0028559999999999992,0.27513134851138343
mpi,wide,128,512,42,4,1,0.0036720000000000017,0.13126150071560033
mpi,wide,128,512,42,4,2,0.0035979999999999901,0.13436261214270426
mpi,wide,128,512,42,4,3,0.0036259999999999973,0.133977233528803
mpi,wide,128,512,42,4,4,0.0035749999999999983,0.13753060510668036
mpi,wide,128,512,42,4,5,0.0034950000000000016,0.13659479979944142
mpi,wide,128,512,42,4,6,0.0034590000000000003,0.14141560798548106
mpi,wide,128,512,42,4,7,0.0042120000000000005,0.12671929195072396
mpi,wide,128,512,42,4,8,0.0044500000000000026,0.1125586242834813
mpi,wide,128,512,42,4,9,0.0039100000000000003,0.12667860340196954
mpi,wide,128,512,42,4,10,0.0034160000000000006,0.15009552923194538
seq,tall,512,128,42,1,1,0.0019499999907566234,0.79076923357054618
seq,tall,512,128,42,1,2,0.0019820000015897676,0.78657920324416963
seq,tall,512,128,42,1,3,0.0019529999990481883,0.79160265525287854
seq,tall,512,128,42,1,4,0.0020970000041415915,0.77825464773217079
seq,tall,512,128,42,1,5,0.0019869999960064888,0.79516859569257448
seq,tall,512,128,42,1,6,0.0020519999961834401,0.79483431261624249
seq,tall,512,128,42,1,7,0.0021960000012768432,0.79644809484583157
seq,tall,512,128,42,1,8,0.0020640000002458692,0.7868217037867411
seq,tall,512,128,42,1,9,0.0019699999975273386,0.79949238783034704
seq,tall,512,128,42,1,10,0.0020179999992251396,0.78196234437382861
mpi,tall,512,128,42,1,1,0.0023129999999999991,0.7297881539126676
mpi,tall,512,128,42,1,2,0.0023130000000000008,0.73194984868136592
mpi,tall,512,128,42,1,3,0.0021399999999999995,0.73364485981308436
mpi,tall,512,128,42,1,4,0.0030080000000000003,0.74235372340425487
mpi,tall,512,128,42,1,5,0.0056550000000000003,0.79876215738284673
mpi,tall,512,128,42,1,6,0.0026600000000000009,0.70751879699248132
mpi,tall,512,128,42,1,7,0.002196,0.72495446265938057
mpi,tall,512,128,42,1,8,0.0021399999999999995,0.72429906542056055
mpi,tall,512,128,42,1,9,0.002163,0.73046694405917734
mpi,tall,512,128,42,1,10,0.0021460000000000003,0.72786579683131358
mpi,tall,512,128,42,2,1,0.003373000000000001,0.23276501111934816
mpi,tall,512,128,42,2,2,0.0029499999999999995,0.27106289201559614
mpi,tall,512,128,42,2,3,0.0023560000000000005,0.33729569093610701
mpi,tall,512,128,42,2,4,0.0035220000000000008,0.21283543944341904
mpi,tall,512,128,42,2,5,0.0012730000000000016,0.60683424980361322
mpi,tall,512,128,42,2,6,0.0031650000000000011,0.24964449360088445
mpi,tall,512,128,42,2,7,0.0035709999999999995,0.21467581571208486
mpi,tall,512,128,42,2,8,0.0034710000000000019,0.22140593488908097
mpi,tall,512,128,42,2,9,0.0012910000000000005,0.59589306470360304
mpi,tall,512,128,42,2,10,0.0034510000000000009,0.22431531662077969
mpi,tall,512,128,42,4,1,0.0043400000000000001,0.11273571221351864
mpi,tall,512,128,42,4,2,0.0035549999999999991,0.13730478411419642
mpi,tall,512,128,42,4,3,0.003487999999999998,0.13952486901600508
mpi,tall,512,128,42,4,4,0.0037829999999999982,0.12847314104260407
mpi,tall,512,128,42,4,5,0.0041980000000000003,0.11823276890054844
mpi,tall,512,128,42,4,6,0.0036379999999999989,0.13545104510451053
mpi,tall,512,128,42,4,7,0.0074050000000000001,0.068155644739137836
mpi,tall,512,128,42,4,8,0.0040929999999999994,0.11918586883442336
mpi,tall,512,128,42,4,9,0.0038599999999999988,0.12453832696170546
mpi,tall,512,128,42,4,10,0.0030859999999999985,0.15536264806100902
