implementation,shape,ny,nx,seed,processes,run,time_seconds,compute_fraction
mpi,tall,65536,16384,42,2,2,164.25442945584655,0.6488491912164468
mpi,tall,65536,16384,42,2,3,155.65552008152008,0.66972421941000759
mpi,tall,65536,16384,42,2,4,164.86612584814429,0.64185051743812205
mpi,tall,65536,16384,42,2,5,156.19552718102932,0.66733115119484976
mpi,tall,65536,16384,42,4,1,83.540688198059797,0.62479921592005527
mpi,tall,65536,16384,42,4,2,84.762823361903429,0.61565304185058856
mpi,tall,65536,16384,42,4,3,84.295097883790731,0.61948015957528824
mpi,tall,65536,16384,42,4,4,84.792179059237242,0.61478892639272831
mpi,tall,65536,16384,42,4,5,84.347669027745724,0.61874191595811612
mpi,tall,65536,16384,42,8,1,43.698618210852146,0.59775564993956753
mpi,tall,65536,16384,42,8,2,43.077957641333342,0.60565527547254416
mpi,tall,65536,16384,42,8,3,42.800898149609566,0.61004421933262609
mpi,tall,65536,16384,42,8,4,42.712015207856894,0.61096042396168859
mpi,tall,65536,16384,42,8,5,42.691114529967308,0.61216190777613455
mpi,tall,65536,16384,42,16,1,23.40899296849966,0.58039689457733956
mpi,tall,65536,16384,42,16,2,21.976153392344713,0.59629146260466748
mpi,tall,65536,16384,42,16,3,22.287009414285421,0.59537667868176147
mpi,tall,65536,16384,42,16,4,21.892574176192284,0.59903130729426612
mpi,tall,65536,16384,42,16,5,21.941639598459005,0.59863606417474413
mpi,tall,65536,16384,42,32,1,21.448200028389692,0.35848382100256737
mpi,tall,65536,16384,42,32,2,21.419487345963717,0.36111711812653607
mpi,tall,65536,16384,42,32,3,21.338205706328154,0.35936632728993118
mpi,tall,65536,16384,42,32,4,21.470014899969101,0.35654811105798623
mpi,tall,65536,16384,42,32,5,21.380463596433401,0.35954400776888573
mpi,tall,65536,16384,42,64,1,22.07019742205739,0.24966227835519775
mpi,tall,65536,16384,42,64,2,22.018056590110064,0.25203128408874192
mpi,tall,65536,16384,42,64,3,22.020250041037798,0.24626547005596319
